,index,object,part,id,url,image,name,tags,thumbnail,objective,IC,AccessMeta,note
,,light switch,switch:lever,1215328,https://www.thingiverse.com/thing:1215328,https://cdn.thingiverse.com/renders/30/68/fe/78/d0/image_preview_card.jpeg,Decora light switch extension,"accessibility, light switch",,motor,"20 switch__toggle_multi, 21 switch__toggle_single",actuation-operation,not belong to first 50 entries
,,light switch,switch:lever,4928263,https://www.thingiverse.com/thing:4928263,https://cdn.thingiverse.com/assets/df/24/46/08/a1/card_preview_20210809_103117.jpg,FDM Friendly Switch Cover,switch,,constraint,"20 switch__toggle_multi, 21 switch__toggle_single",constraint,not belong to first 50 entries
,,light switch,switch:lever,5222995,https://www.thingiverse.com/thing:5222995,https://cdn.thingiverse.com/assets/0a/2c/5e/41/da/card_preview_Switch_Guard_Front_Up.png,Missile Light Switch Cover,"Light Switch Cover, light switch guard, switch cover, switch guard",,constraint,"20 switch__toggle_multi, 21 switch__toggle_single",constraint,
,,light switch,switch:lever,2274280,https://www.thingiverse.com/thing:2274280,https://cdn.thingiverse.com/renders/9e/69/18/9a/58/f1d3be926eb03fb49e24db162c6148d6_preview_card.jpg,Light Switch Guard,,,constraint,"20 switch__toggle_multi, 21 switch__toggle_single",constraint,
,,light switch,switch:lever,69806,https://www.thingiverse.com/thing:69806,https://cdn.thingiverse.com/renders/56/04/dc/fd/af/IMG_20130404_162639_preview_card.jpg,Light Switch Lock,"light switch, Lock",,constraint,"20 switch__toggle_multi, 21 switch__toggle_single",constraint,
,,light switch,switch:button,3061443,https://www.thingiverse.com/thing:3061443,https://cdn.thingiverse.com/renders/4e/8b/97/c2/ff/99b7794556830e35f25d1f8162744f8f_preview_card.jpg,Light Switch Lock,"decora, light, light switch, Light Switch Cover, light switch guard, light switch lock, Light Switch Plate",,constraint,19 switch__rocker_single,constraint,not belong to first 50 entries
,,light switch,switch:button,2385820,https://www.thingiverse.com/thing:2385820,https://cdn.thingiverse.com/renders/0f/dd/22/a8/2c/44ac539a2a1a514127ffcf7df6bf07f2_preview_card.jpg,Light Switch Guard,decora light switch,,constraint,"19 switch__rocker_single, 18 switch__rocker_multi",constraint,not belong to first 50 entries
,,light switch,switch:button,4944728,https://www.thingiverse.com/thing:4944728,https://cdn.thingiverse.com/assets/80/fc/c4/42/f5/card_preview_opencover.jpg,Light Switch Cover Plate,"cover, home automation, light switch, Light Switch Cover",,constraint,"19 switch__rocker_single, 18 switch__rocker_multi",constraint,not belong to first 50 entries
,,light switch,swiltch:button,2905340,https://www.thingiverse.com/thing:2905340,,,,,fuction,,,not belong to first 50 entries
,,light switch,swiltch:button,2948880,https://www.thingiverse.com/thing:2948880,https://cdn.thingiverse.com/renders/70/01/36/e1/dd/ab91246da1ac547366ad64a3d87cc430_preview_card.jpg,Two-Gang Light Switch Plate for Philips Hue Remote,,,fuction,,,not belong to first 50 entries
,,light switch,swiltch:button,2385820,https://www.thingiverse.com/thing:2385820,,Light Switch Guard,,,constraint,,,
,,light switch,general,3182329,https://www.thingiverse.com/thing:3182329,https://cdn.thingiverse.com/renders/c9/21/27/00/81/f351b8978af962954173d4e65af0baa3_preview_card.jpg,Harry Potter Lumos Rocker Light Switch Cover Plate,,,cue,,,not belong to first 50 entries
,8,electrilcal outlet,general,272419,https://www.thingiverse.com/thing:272419,https://cdn.thingiverse.com/renders/6e/fc/68/8a/86/DSC_0125_preview_card.jpg,Better Child Protection Outlet Cover,"baby, baby proofing, child, child proof, child proofing, Safety",,safety,3 electric_outlet__electric_outlet,constraint,
,,electrilcal outlet,general,2987347,https://www.thingiverse.com/thing:2987347,https://cdn.thingiverse.com/renders/09/92/83/d5/d2/2200cea6af3b92a33ced92e8aa83b8e9_preview_card.JPG,German Power Outlet Dust Cover,"dust cover, power, power outlet, Schuko",,safety,3 electric_outlet__electric_outlet,constraint,not belong to first 50 entries
,,electrilcal outlet,general,2719252,https://www.thingiverse.com/thing:2719252,https://cdn.thingiverse.com/renders/f6/79/aa/38/de/9b437a7d7cc48ee1df736a372e866c27_preview_card.jpg,Safety Outlet Cover,"kids safety, outlet cover, Safety",,safety,3 electric_outlet__electric_outlet,constraint,not belong to first 50 entries
,,electrilcal outlet,general,4658970,https://www.thingiverse.com/thing:4658970,https://cdn.thingiverse.com/assets/ac/f5/12/fd/db/card_preview_SchukoCover.jpg,Dust Cover for Schuko Power Outlet,"childproof, dust, dust cover, Eurostecker, outlet cover, power outlet, Schuko, schuko type F, wall outlet",,safety,3 electric_outlet__electric_outlet,constraint,not belong to first 50 entries
,,electrilcal outlet,general,4088052,https://www.thingiverse.com/thing:4088052,https://cdn.thingiverse.com/assets/35/d1/5b/99/81/card_preview_P1290085_cropped.JPG,Robust Power Strip Mount,"cable tie, eu plug, extension cord, extension cord holder, ikea, ikea koppla, mounting bracket, Power Cord, power strip, Power Strip Bracket, power strip clamp, Power Strip Holder, Power Strip Mount, Power Strip Workbench, robust, rugged, wall mount, workshop",,motor,3 electric_outlet__electric_outlet,constraint,not belong to first 50 entries
,,electrilcal outlet,general,5444424,https://www.thingiverse.com/thing:5444424,https://cdn.thingiverse.com/assets/db/c9/36/a1/68/card_preview_ac_outlet.jpeg,AC Outlet wall/roof holder (European),"AC Outlet, electrical outlet, holder, outlet",,motor,3 electric_outlet__electric_outlet,constraint,not belong to first 50 entries
,9,bag,type:plastic,26767,https://www.thingiverse.com/thing:26767,https://cdn.thingiverse.com/renders/e4/97/5d/e4/be/small_preview_card.jpg,Bag Holder - Shopping Handle,"3D, bag, bag carrier, carry, dining, groceries, handle, Helper, holder, house, household, kitchen, makerbot, shop, supermarket, tote",,motor,bag,actuation-operation,
,,bag,type:plastic,597043,https://www.thingiverse.com/thing:597043,https://cdn.thingiverse.com/renders/7b/2c/5a/eb/e6/IMGP0625_preview_card.jpg,Shopping Bag Handle,"bag, groceries, handle, shopping",,motor,bag,actuation-operation,
,,bag,type:backpack,1103082,https://www.thingiverse.com/thing:1103082,https://cdn.thingiverse.com/renders/ef/fa/1a/ff/96/IMG_4365_preview_card.JPG,Easy Zipper for Assistive Technology Challenge,"assistive, AssistiveTech, assistive technology, challenge, customizer, disable, disabled, easy, zypper",,motor,zipper,actuation-operation,
,,bag,general,3057298,https://www.thingiverse.com/thing:3057298,https://cdn.thingiverse.com/renders/21/c1/62/17/be/c7050f90df70433f3d04c62ec8875a24_preview_card.jpg,Assistive Technology - Bag Holder,"ALS, AssistiveTech, assistive device, assistive technology, bag carrier, bag holder, carrying, carrying bag, carrying aid, disabilities, disability, Disability aid, disabled, every day carry, wristcarrier, wrist rest",,motor,bag,actuation-operation,
,10,smartphone,general,4614448,https://www.thingiverse.com/thing:4614448,https://cdn.thingiverse.com/assets/9c/94/be/81/c8/card_preview_IMG_20201008_215807.jpg,LiftPod - Multipurpose Foldable Stand,"camera, camera mount, fullcolorplastic, GoPro, iPad, iPad Stand, nintendo switch, phone, Phone Stand, switch",,motor,"smartphone, tablet",constraint,
,,smartphone,general,2120591,https://www.thingiverse.com/thing:2120591,https://cdn.thingiverse.com/renders/61/38/67/0b/f5/4e4b56b01a52f99f1475d9cdcaf53120_preview_card.jpg,Phone Stand,"desk, dock, iphone, iphone 6, iPhone stand, office, phone, phone dock, Phone Stand, smartphone, smartphone stand, stand",,motor,"smartphone, tablet",constraint,
,,smartphone,general,2448971,https://www.thingiverse.com/thing:2448971,https://cdn.thingiverse.com/renders/07/54/ae/94/46/a566bce5257862b931e23823f9ca743e_preview_card.jpg,"Articulating, Wall-Mounted, Magnetic Phone Mount","articulating, magnet, magnetic, mount, phone, stand",,motor,"smartphone, tablet",constraint,
,,smartphone,general,1165406,https://www.thingiverse.com/thing:1165406,https://cdn.thingiverse.com/renders/2d/4d/43/eb/30/IMGP2640_preview_card.jpg,Mini Tripods,"ballhead, tripod",,motor,,,
,,smartphone,general,1319883,https://www.thingiverse.com/thing:1319883,https://cdn.thingiverse.com/renders/c0/9e/e3/46/92/d27359eb000a9aa335d8251487a6e3cc_preview_card.jpg,Ball Stylus Rev 4,"accessibility, adapted device, android, assisitive technology, AssistiveTech, assistive device, customizer, disability, disabled, iOS, iPad, iphone, rehabilitation, tablet, Touchscreen, typing aid",,motor,"smartphone, tablet",actuation-operation,
